date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
6 Jun 2025 12:00,PRM,CGN Esports,eSuba,under,total_dragons 4.5,23.69%,1.39,1.72,BET365,url não disponível,win,1,1,0.72
6 Jun 2025 12:00,ROL,mCon esports,FlameHard,over,total_kills 33.5,27.20%,1.44,1.83,BET365,url não disponível,win,1,1,0.83
6 Jun 2025 12:00,ROL,mCon esports,FlameHard,over,total_towers 12.5,23.30%,1.78,2.2,BET365,url não disponível,loss,1,1,-1.0
7 Jun 2025 05:00,LCK,KT Rolster,Dplus KIA,under,game_duration 33.5,14.38%,1.6,1.83,BET365,url não disponível,loss,1,1,-1.0
7 Jun 2025 05:00,LCK,KT Rolster,Dplus KIA,under,total_towers 12.5,13.82%,1.38,1.57,BET365,url não disponível,loss,1,1,-1.0
8 Jun 2025 06:00,LPL,Top Esports,Team WE,under,game_duration 32.5,32.67%,1.38,1.83,BET365,url não disponível,win,1,1,0.83
8 Jun 2025 06:00,LPL,Top Esports,Team WE,under,total_dragons 4.5,11.80%,1.54,1.72,BET365,url não disponível,win,1,1,0.72
7 Jun 2025 06:30,LCP,TALON,GAM Esports,under,total_inhibitors 1.5,20.00%,1.67,2.0,BET365,url não disponível,loss,1,1,-1.0
8 Jun 2025 03:00,LCK,Nongshim RedForce,KT Rolster,under,total_towers 11.5,35.00%,1.67,2.25,BET365,url não disponível,loss,1,1,-1.0
8 Jun 2025 03:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,22.50%,1.14,1.4,BET365,url não disponível,win,1,1,0.4
8 Jun 2025 06:30,LCP,CTBC Flying Oyster,GAM Esports,under,total_barons 1.5,12.00%,1.14,1.28,BET365,url não disponível,win,1,1,0.28
11 Jun 2025 06:00,LPL,Invictus Gaming,Team WE,under,game_duration 32.5,14.38%,1.6,1.83,BET365,url não disponível,loss,1,1,-1.0
11 Jun 2025 06:00,LPL,Invictus Gaming,Team WE,under,total_dragons 4.5,11.80%,1.54,1.72,BET365,url não disponível,loss,1,1,-1.0
14 Jun 2025 13:00,LTA S,FURIA,Isurus Estral,under,total_inhibitors 1.5,32.00%,1.67,2.2,BET365,url não disponível,win,1,1,1.2
14 Jun 2025 13:00,LTA S,FURIA,Isurus Estral,under,total_towers 12.5,10.67%,1.5,1.66,BET365,url não disponível,loss,1,1,-1.0
12 Jun 2025 12:00,NLC,NORD Esports,Los Ratones,over,total_inhibitors 1.5,22.30%,1.47,1.8,BET365,url não disponível,loss,1,1,-1.0
12 Jun 2025 12:00,NLC,NORD Esports,Los Ratones,over,total_towers 12.5,19.71%,1.5,1.8,BET365,url não disponível,loss,1,1,-1.0
13 Jun 2025 06:00,LPL,Bilibili Gaming,Invictus Gaming,under,total_dragons 4.5,40.62%,1.6,2.25,BET365,url não disponível,win,1,1,1.25
13 Jun 2025 06:00,LPL,Bilibili Gaming,Invictus Gaming,under,game_duration 32.5,23.53%,1.48,1.83,BET365,url não disponível,loss,1,1,-1.0
13 Jun 2025 12:00,LFL,Karmine Corp Blue,Zero Tenacity,over,total_dragons 4.5,14.55%,2.07,2.37,BET365,url não disponível,win,1,1,1.37
14 Jun 2025 12:00,LEC,GiantX,Gentle Mates,under,total_towers 12.5,23.53%,1.62,2.0,BET365,url não disponível,loss,1,1,-1.0
14 Jun 2025 12:00,LEC,GiantX,Gentle Mates,under,total_kills 28.5,13.03%,1.62,1.83,BET365,url não disponível,win,1,1,0.83
16 Jun 2025 12:00,NLC,Los Ratones,BoostGate Esports,over,total_kills 29.5,14.38%,1.6,1.83,BET365,url não disponível,win,1,1,0.83
16 Jun 2025 12:00,TCL,Misa Esports,BK ROG Esports,under,game_duration 32.5,22.00%,1.5,1.83,BET365,url não disponível,loss,1,1,-1.0
14 Jun 2025 06:00,LPL,Anyone's Legend,Bilibili Gaming,under,total_dragons 4.5,30.00%,1.54,2.0,BET365,url não disponível,win,1,1,1.0
14 Jun 2025 06:00,LPL,Anyone's Legend,Bilibili Gaming,under,total_towers 12.5,25.60%,1.25,1.57,BET365,url não disponível,win,1,1,0.57
17 Jun 2025 12:00,LVP SL,Los Heretics,Karmine Corp Blue,under,total_kills 32.5,20.48%,1.52,1.83,BET365,url não disponível,win,1,1,0.83
27 Jun 2025 16:00,LEC,G2 Esports,FURIA,over,total_towers 11.5,25.00%,1.6,2.0,BET365,url não disponível,loss,1,1,-1.0
27 Jun 2025 16:00,LEC,G2 Esports,FURIA,over,total_dragons 4.5,17.00%,1.54,1.8,BET365,url não disponível,loss,1,1,-1.0
